N,ID_Start,ID_Test,Model,Dataset,Reward_mean_after_GAIL,Reward_min_after_GAIL,Reward_max_after_GAIL,Episode_duration_after_GAIL,Std_dev_after_GAIL,Reward_mean_before_GAIL,Reward_min_before_GAIL,Reward_max_before_GAIL,Episode_duration_before_GAIL,Std_dev_before_GAIL
1,251124_101730_9BHF0,251127_121225_ipDYP,CNN,Minari,438.83,195,770,697,136.5,366.50,175,540,610,103.68
2,251126_094435_7GpfB,,MLP,Minari,275.3,210,285,700,25.8,398.50,235,640,632,91.78
3,251125_102959_QSOdc,251127_121338_3l49j,VIT,Minari,365.17,180,700,757,124.65,423.50,215,915,673,136.69
4,251125_104921_WmKj,251127_125416_NNT9P,CNN,Expert,234.5,95,640,706,125.51,179.67,90,335,653,59.50
5,251125_000440_aLhJQ,251127_173307_8qar0,MLP,Expert,328.33,80,480,728,88.79,304.00,200,630,756,119.84
6,251125_104832_3ml3e,251127_194452_6AfdX,VIT,Expert,198.5,55,815,574,125.27,170.33,5,675,599,143.00
7,251124_172139_1ADD6,251127_103013_pZuxJ,CNN,Minari + Expert,221.17,50,560,591,106.9,133.00,45,375,688,78.64
8,251124_145842_LQO7S,251128_091708_pAtdl,MLP,Minari + Expert,274.0,50,830,668,147.58,237.00,80,480,654,95.12
9,251124_161532_b8P5Z,251128_091415_nmTAT,VIT,Minari + Expert,253.67,105,645,586,143.21,197.00,15,540,571,131.25
